"","logFC","logCPM","F","PValue","FDR"
"ATG2A",1.54033792574596,3.25109725385101,24.6678193740482,0.000280671834936039,0.000579560995461308
"CENPI",0.918441289831061,4.79202621376232,24.4180730359965,0.000281536036348153,0.000581253022395265
"RTL8C",1.76865697031884,3.31520924656602,24.6214580303324,0.000281999405738708,0.000582117093907192
"FKRP",-1.10568071353342,4.29038733701707,24.4839242483873,0.000282051961802418,0.000582133004324279
"DPAGT1",1.03123345990168,4.47146198133993,24.4176607348493,0.000282149728522035,0.000582242206075677
"PKHD1L1",-0.924319855561723,4.98582591702343,24.4075447447966,0.000282318293433077,0.000582449093216775
"PYGB",1.10154713657368,5.0422397025362,24.3978883848884,0.000282339729932199,0.000582449093216775
"IFIT5",0.794990443133114,5.40414480212261,24.3713089109983,0.000283389130418759,0.000584521041289606
"CPNE7",-2.16283079113465,5.17227756885956,24.4327655349497,0.000283492978784276,0.000584642336291692
"IL18BP",-1.29486735973612,5.87568991292919,24.3332564126699,0.000285374499247982,0.00058842907072896
"HSPD1P1",1.46328259658592,1.83545729134114,20.6399229343397,0.000286450666847813,0.000590473828236385
"NAALADL1",-1.89960252182385,2.33928649529796,20.5966850163684,0.000286469604846278,0.000590473828236385
"PIBF1",1.01666336227712,4.6022379538341,24.3261667463352,0.000286502632529488,0.000590473828236385
"DHPS",-0.991577280441044,5.97132527229636,24.2997651712143,0.000286956797030111,0.000591315958953935
"BHLHE40",2.30436125057408,5.8347756744403,24.2947972000192,0.000287472999801527,0.000592285640860925
"HS1BP3",-1.11905560548547,4.33199560090063,24.3568502941708,0.000288199786275938,0.00059368881540417
"POC5",1.14296635299599,3.86714919688282,24.3545418885731,0.000288455748384631,0.000594121804829023
"RASSF6",1.87707172845235,6.60613806891246,24.2626798450496,0.000288707002519978,0.000594544961559466
"AAR2",0.944840894991467,4.70888833313351,24.2772640897802,0.000288805203071564,0.000594652845156868
"LNPK",0.95576724521642,4.91458695908925,24.25678202151,0.000289616226481964,0.000596228171250736
"TGDS",1.4242264593496,4.15093529544787,24.3052290668855,0.000289757047446362,0.000596397024711744
"ZNF610",-2.08296842267102,1.93159157120924,19.2196561344718,0.000289790141360321,0.000596397024711744
